Date,Open,High,Low,Close,Volume
2024-08-23,191.3767,193.7955,188.4862,190.7666,0.0
2024-08-24,190.7666,190.7666,190.7666,190.7666,0.0
2024-08-25,190.4085,190.7277,190.1167,190.2289,0.0
2024-08-26,190.233,191.2615,189.0453,190.5271,0.0
2024-08-27,190.4992,192.5979,189.6307,190.7677,0.0
2024-08-28,190.7789,192.3507,189.1824,190.5331,0.0
2024-08-29,190.5273,192.523,189.5706,190.8304,0.0
2024-08-30,190.8397,193.046,189.6192,191.8706,0.0
2024-08-31,191.8706,191.8706,191.8706,191.8706,0.0
2024-09-01,191.8457,192.0016,191.6232,191.8068,0.0
2024-09-02,191.7791,193.6072,191.2418,193.069,0.0
2024-09-03,193.0676,193.5664,189.8941,190.5727,0.0
2024-09-04,190.5714,191.77,188.092,188.8395,0.0
2024-09-05,188.8289,190.1701,187.6474,188.9936,0.0
2024-09-06,188.9962,190.6858,185.8497,186.7329,0.0
2024-09-07,186.7578,186.7578,186.7578,186.7578,0.0
2024-09-08,186.6502,186.9363,186.3921,186.5496,0.0
2024-09-09,186.5664,188.9963,185.4719,187.1021,0.0
2024-09-10,187.0982,188.3692,185.5478,186.2102,0.0
2024-09-11,186.2271,186.8949,182.9377,185.5618,0.0
2024-09-12,185.5668,187.7767,184.6851,186.1179,0.0
2024-09-13,186.1231,186.6749,183.9648,184.7105,0.0
2024-09-14,184.7105,184.7105,184.7105,184.7105,0.0
2024-09-15,184.7013,184.9401,184.4578,184.6324,0.0
2024-09-16,184.6381,186.2575,183.1017,185.7859,0.0
2024-09-17,185.8276,188.4741,184.4525,187.2966,0.0
2024-09-18,187.3031,189.7742,184.7537,187.693,0.0
2024-09-19,187.6944,191.647,186.6081,189.4218,0.0
2024-09-20,189.4156,192.7592,188.0471,191.5666,0.0
2024-09-21,191.5666,191.5666,191.5666,191.5666,0.0
2024-09-22,191.4734,191.913,191.3297,191.643,0.0
2024-09-23,191.6178,192.9871,189.6569,191.5966,0.0
2024-09-24,191.5907,194.0985,190.783,191.9819,0.0
2024-09-25,191.9777,194.517,190.2072,192.6755,0.0
2024-09-26,192.7,195.09,191.8298,194.1583,0.0
2024-09-27,194.1629,196.6979,189.7877,190.0972,0.0
2024-09-28,190.0972,190.0972,190.0972,190.0972,0.0
2024-09-29,190.0156,190.3515,189.8276,190.1932,0.0
2024-09-30,190.2002,193.1771,189.0853,191.9899,0.0
2024-10-01,191.9828,193.5184,189.2357,190.7335,0.0
2024-10-02,190.7404,194.9454,189.9603,194.1193,0.0
2024-10-03,194.1204,195.4171,191.4977,192.7303,0.0
2024-10-04,192.6837,196.3141,190.6982,195.0074,0.0
2024-10-05,195.0074,195.0074,195.0074,195.0074,0.0
2024-10-06,195.0507,195.343,194.728,195.0616,0.0
2024-10-07,195.0602,195.8705,193.0497,193.7551,0.0
2024-10-08,193.7825,194.5778,192.4848,194.2292,0.0
2024-10-09,194.2189,195.7428,193.2218,194.9032,0.0
2024-10-10,194.9349,195.8451,192.9903,193.8908,0.0
2024-10-11,193.8983,195.3055,193.5262,194.801,0.0
2024-10-12,194.801,194.801,194.801,194.801,0.0
